"treat","quran","votenahda","stress","relrev","age","female","own","inc","edu","urb","marriage","unemp","stud","enum","enumfemale","room","sharia","pray","votenidaa","votejabha","voteirada","votepoor","votegoods","voteAllah","voteAllah2","voteAllah3","voteAllahrank","voteAllahrank3"
1,1,0,1,5,33,1,0,4,1,1,0,1,0,"3",1,"1",3,5,1,0,0,2,3,3,1,0,5,1
1,1,0,1,3,20,1,1,7,4,1,0,0,1,"3",1,"1",2.5,3,0,1,0,4,4,2,0,0,0,NA
1,1,0,1,5,24,1,2,8,4,1,0,0,1,"3",1,"1",3.25,2,1,0,0,2,4,NA,NA,NA,NA,NA
1,1,0,3,3,36,0,2,NA,6,0,0,1,0,"3",1,"1",1,2,0,1,0,3,3,1,0,0,0,NA
1,1,0,2,4,34,1,2,8,6,1,1,0,0,"1",0,"1",3.25,5,0,0,0,3,3,3,1,0,6,1
0,1,0,1,5,27,1,2,7,4,1,0,0,0,"1",0,"1",2.5,3,1,0,0,3,3,1,0,0,0,NA
0,1,0,1,3,61,0,1,7,4,1,1,0,0,"1",0,"1",4,5,1,0,0,3,3,3,1,0,2,0
0,1,0,1,5,64,1,0,2,2,0,1,0,0,"1",0,"1",3,5,0,0,0,3,3,3,1,0,2,0
0,1,0,1,5,21,1,2,7,4,1,0,0,1,"1",0,"1",1.75,1,1,0,0,3,3,1,0,0,0,NA
1,1,1,2,5,60,1,0,2,1,1,1,0,0,"1",0,"1",4,3,0,0,0,3,3,3,1,0,1,0
0,1,0,2,3,20,1,2,5,4,1,0,0,1,"1",0,"1",3.25,4,0,0,0,4,4,1,0,0,0,NA
1,1,0,1,4,56,1,1,1,2,1,1,0,0,"4",1,"1",1.75,3,1,0,0,2,3,NA,NA,NA,NA,NA
0,1,0,2,3,21,1,1,10,4,1,0,0,1,"4",1,"1",3.25,4,0,1,0,3,3,1,0,0,0,NA
1,1,1,2,3,30,0,2,10,4,1,0,1,0,"4",1,"1",2.5,2,0,0,0,3,3,3,1,0,1,0
0,1,0,2,5,46,0,0,5,1,0,1,0,0,"4",1,"1",2.75,5,1,0,0,3,3,4,1,1,4,0
0,1,0,2,5,20,1,1,9,4,1,0,0,1,"4",1,"1",1,3,0,1,0,3,3,4,1,1,4,0
0,1,0,2,5,26,1,2,5,5,1,0,0,1,"4",1,"1",NA,1,0,1,0,3,3,4,1,1,2,0
0,1,0,3,5,54,1,0,4,2,1,1,0,0,"4",1,"1",1,4,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,1,0,2,3,57,1,1,8,5,1,1,0,0,"7",1,"2",2,4,0,0,0,4,4,3,1,0,6,1
1,1,1,1,4,21,1,1,2,4,0,0,0,1,"7",1,"2",2.5,4,0,0,0,4,3,2,0,0,0,NA
0,1,0,2,2,61,1,2,7,2,1,1,0,0,"7",1,"2",NA,5,0,1,0,4,4,NA,NA,NA,NA,NA
0,1,0,1,1,20,1,0,2,4,1,0,1,0,"7",1,"2",3.25,5,0,1,0,3,4,2,0,0,0,NA
1,1,0,1,3,20,1,1,3,4,1,0,0,1,"7",1,"2",3.25,3,0,0,0,4,4,4,1,1,6,1
1,1,1,1,2,29,1,1,3,4,1,0,1,0,"6",1,"3",3,3,0,0,0,3,3,NA,NA,NA,NA,NA
1,1,0,2,2,38,0,1,7,3,1,1,0,0,"6",1,"3",3.25,5,0,0,1,NA,NA,NA,NA,NA,NA,NA
0,1,1,2,3,48,1,0,5,1,1,1,0,0,"6",1,"3",1,5,0,0,0,4,3,4,1,1,2,0
1,1,0,2,2,28,0,0,6,4,1,0,1,0,"6",1,"3",1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
1,1,0,1,1,21,1,1,6,5,0,0,0,1,"11",1,"2",3.25,3,0,0,1,4,3,2,0,0,0,NA
0,1,0,2,3,42,0,2,10,4,1,1,0,0,"11",1,"2",2,5,0,0,0,3,3,NA,NA,NA,NA,NA
1,1,1,2,5,21,1,2,8,5,1,0,0,1,"11",1,"2",1.75,4,0,0,0,3,3,1,0,0,0,NA
1,1,0,2,5,53,1,0,2,2,0,1,0,0,"11",1,"2",3,5,0,1,0,4,3,3,1,0,3,0
1,1,1,2,5,22,1,2,10,4,0,0,0,1,"11",1,"2",2.75,3,0,0,0,3,3,2,0,0,0,NA
